title,views,link,upload_date,likes,dislikes
"Σταθης Νικολαιδης, Δημητρης Καρασαββιδης - Ποντιακα ( Live ) HQ","958,316",https://www.youtube.com/watch?v=TdY7PwJ_SRI,"Feb 28, 2017","5,267",417
Χρυσή Τηλεόραση | Καλό Μεσημεράκι | 30/09/2020,"223,299",https://www.youtube.com/watch?v=zhfgOahp9cA,"Sep 30, 2020","1,877",80
Sunday Morning Jazz - Sweet Jazz and Bossa Nova Music for Positive Day,"6,940 watching now",https://www.youtube.com/watch?v=1qA3LQDa7lQ,"Started streaming Oct 3, 2020","1,116",35
Four Seasons ~ Vivaldi,"219,209,917",https://www.youtube.com/watch?v=GRxofEmo3HA,"Jan 30, 2011","1,028,357","53,434"
[BANGTAN BOMB] 'Dynamite' Stage CAM (BTS focus) @ Gyeongbokgung - BTS (방탄소년단),"6,214,063",https://www.youtube.com/watch?v=nF1zZIETE5k,"Oct 1, 2020","1,056,500","3,073"
3 A.M Study Session 📚 - [lofi hip hop/chill beats],"1,441,011",https://www.youtube.com/watch?v=BTYAsjAVa3I,"Sep 13, 2020","43,770",326
"ChillYourMind 24/7 Live Music Radio | Chillout Music, Chill House, Deep House, Relaxing Music","2,079 watching now",https://www.youtube.com/watch?v=eQdA8dvsgQs,"Started streaming Mar 22, 2020","38,382","1,565"
4 hours Peaceful & Relaxing Instrumental Music-Long Playlist,"64,772,903",https://www.youtube.com/watch?v=CcsUYu0PVxY,"Feb 5, 2014","242,034","16,560"
Γιώργος Σαμπάνης - Άγρια Θάλασσα | Official Video Clip,"13,549,354",https://www.youtube.com/watch?v=_p1zOSsgiMk,"Jun 24, 2020","116,177","3,607"
Ibiza Summer Mix 2020 🍓 Best Of Tropical Deep House Music Chill Out Mix By Deep Legacy #2,"1,709,701",https://www.youtube.com/watch?v=a4DomHz_fjA,"Jan 5, 2020","5,786",372
Akon - Right Now (Na Na Na) (Official Video),"525,442,293",https://www.youtube.com/watch?v=vIaH35-MLsk,"Dec 13, 2009","3,331,522","109,471"
chill beats to quarantine to,"10,570,939",https://www.youtube.com/watch?v=rA56B4JyTgI,"Mar 20, 2020","668,204","9,298"
Rihanna - Diamonds,"1,573,811,608",https://www.youtube.com/watch?v=lWA2pjMjpBs,"Nov 8, 2012","7,159,895","324,623"
Relaxing Sounds for Sleep 😴 Thunderstorm & Rain Sounds | Nature Sounds Sleep Aid | Insomnia Relief,"9,765,863",https://www.youtube.com/watch?v=oxz8Nym9bmc,"Jul 9, 2017","89,987","6,174"
Subaru Impreza STI.Προετοιμασία για προγραμματισμό και ευρήματα.Tuning day 3.,"21,106",https://www.youtube.com/watch?v=au9XYvT3-1w,"Oct 3, 2020","1,661",23
"Κατερίνα Βρανά: Αν ήξερα ότι θα απογειωθεί η καριέρα όταν πήγα να πεθάνω, θα το έκανα νωρίτερα!","233,290",https://www.youtube.com/watch?v=yuic_qFxmaI,"Sep 24, 2020","5,043",84
